doc	0	1	2	3	4	5	6
40	0.0008554571997315055	0.6860096441906393	0.07218510556959222	0.18557418531632586	0.0008602101583030903	0.053656548834923184	0.000858848730484938
41	0.0003830029636694894	0.8956617295509466	0.10241688558937839	0.00038475390709490965	0.00038464125761233686	0.0003845622354331538	0.0003844244958651377
42	0.00029949473845594703	0.0003003559592352667	0.0003006291670465347	0.00030022302804434193	0.0002999431810524763	0.00030014412823636447	0.9981992097979291
43	0.0003571497676820838	0.9978461741185183	0.0003585691554087317	0.00035902162690147263	0.00035913263094563197	0.0003598888801313188	0.00036006382041266737
44	0.001763709150758667	0.9274325796370633	0.0017707571574651934	0.0637179559645186	0.001768481575417678	0.0017716325150291734	0.001774883999747283
45	0.000583100672961284	0.604939418575287	0.0005855210974478992	0.0005855737373972559	0.019690660284346673	0.3730305892785849	0.0005851363539750478
46	0.000860600211541039	0.0008649449589329649	0.0008643789345669873	0.9948224679020253	0.0008627786532038009	0.0008619158733504453	0.0008629134663793664
47	0.0002933469181059624	0.449027489403994	0.0002949847803086986	0.00029496838642295857	0.0002937318710649195	0.00029439686188615613	0.5495010817782173
48	0.0006707089864384745	0.40099146312897355	0.0006725891097404628	0.0006735899036534443	0.5956469145791538	0.0006718121273059701	0.0006729221647343809
49	0.0007142904442607816	0.0007154362264528939	0.0007153344445674193	0.0007154155746099757	0.99570949938794	0.0007151201912832765	0.000714903730885664
