doc	0	1	2	3	4	5	6	7	8	9	10
16	0.00025464731721996014	0.00025466640853345405	0.23726600670262424	0.00025467484239165056	0.0002546788304925689	0.00025467848660059103	0.00025467777601818057	0.00025466987727502905	0.6255333351702251	0.13516331727139907	0.00025464731722005214
17	0.00031786395819110056	0.00031788210900593494	0.2973838804276915	0.0003179002215614356	0.0003178758900038484	0.0003179096611568244	0.0003178934301769595	0.0003178774578406072	0.12713088461407548	0.572942168272105	0.0003178639581912944
18	0.0004662004703111031	0.0004662228724798691	0.00046625593296358546	0.00046626401473429926	0.000466213831909238	0.00046621588560335017	0.000466224878926062	0.00046624622315911263	0.00046623530761110056	0.9953377201119906	0.00046620047031155907
19	0.00018218254940226763	0.00018219898729020337	0.00018219993744860555	0.00018220085240610665	0.0001822027319771465	0.00018219761808311956	0.00018219937281963342	0.00018220469557983423	0.9981780174550253	0.00018221325056542558	0.00018218254940240193
20	0.0003342246019149494	0.00033426911689302363	0.00033425102806903167	0.0003342520901703633	0.00033423430265760453	0.0003342380241906749	0.996657542460259	0.0003342607903872801	0.00033425969250446696	0.00033424329103847524	0.0003342246019150638
21	0.0007047216442718269	0.0007048138910163872	0.0007047716292483155	0.0007047978600408387	0.0007047427874998698	0.0007047903591644266	0.0007047921970961009	0.0007048071910882127	0.9929522595744307	0.000704781221871714	0.0007047216442715523
22	0.00034566194650250895	0.6012253597941382	0.0003456806555496585	0.00034570007725435775	0.0003456703233486801	0.00034572889381003245	0.3956634696123373	0.00034568523849253977	0.0003456962970329697	0.00034568521503135886	0.0003456619465025795
23	0.000733137843399857	0.27841257811087267	0.0007332277238880916	0.0007332044480207035	0.0007331751786357914	0.0007331887450478499	0.0007331680952345055	0.1517746003016842	0.5639473790104185	0.0007332026993976619	0.0007331378434003297
24	0.00023551578179202212	0.0002355290753948311	0.0002355279258177758	0.00023552777750027244	0.00023556716089619502	0.0002355219010177261	0.00023552589164901137	0.00023553558025015472	0.00023553560771605696	0.9976446975161738	0.0002355157817921711
25	0.00026737968208951046	0.0002674160839361019	0.000267411915425959	0.00026740494794879433	0.00026738923293232754	0.00026739255052387137	0.00026739079435859897	0.9973260361893422	0.000267399730263406	0.0002673991910895081	0.00026737968208974904
26	0.0006060606131952871	0.21314582826867076	0.7813992741861093	0.0006061053203575088	0.000606089990835266	0.0006060846988898891	0.0006061257198901821	0.0006061338269747067	0.0006061215364290304	0.0006061152254521476	0.0006060606131957067
27	0.0002539360097407618	0.9625173168969273	0.0002539472775932953	0.0002539620428678691	0.0002539481372173344	0.0002539422903647591	0.03519716272037495	0.00025395134048944397	0.00025394651954596935	0.00025395075513738553	0.0002539360097408811
28	0.0006887052442058651	0.15587785105508256	0.0006887452007695107	0.11655184659146997	0.0006887335482576404	0.0006887404491855932	0.000688765354025251	0.7220603608089919	0.0006887722657375277	0.0006887742380677891	0.0006887052442061082
29	0.0004095004148052588	0.00040953616032510167	0.0004095297911634587	0.0357358949122478	0.0004095285060679878	0.0004095382223857572	0.0004095249555714341	0.0004095551787443711	0.0004095437158495294	0.9605783477280333	0.00040950041480593735
30	0.00023798191856715188	0.00023800449809190574	0.00023802473204127036	0.4314412882296272	0.0002380167639603003	0.00023801513444841017	0.17064264649597868	0.1105136948857762	0.2857363420459499	0.0002380033769915364	0.0002379819185673719
31	0.00015755475182627844	0.00015757327323399014	0.0001575619139498419	0.8419448647519111	0.0001575589968630165	0.00015756521032177703	0.15663706467472724	0.00015756701043193717	0.00015756598805790825	0.00015756867685060672	0.00015755475182637195
32	0.00022446689271743284	0.0002244815186506177	0.9977552369274637	0.00022448350769100085	0.0002244744568736949	0.00022448261105394423	0.0002244740222583746	0.00022447703960656946	0.00022447959066402952	0.0002244765403029753	0.00022446689271763423
33	0.00023250407146153295	0.00023252165351617514	0.00023253490285665064	0.00023252171078303819	0.00023251751733170803	0.00023255058995030257	0.00023251502834404012	0.00023252313952005786	0.997674782145794	0.00023252516898053445	0.00023250407146195267
34	0.00029420418226001687	0.31248095043824925	0.00029422466011199056	0.0002942408612633626	0.0002942225089903771	0.00029422299064080687	0.141036911227239	0.0002942499544354988	0.00029423983143778175	0.5441283291631117	0.00029420418226023
