doc	0	1	2	3	4	5	6	7	8
24	0.00028785273557122763	0.0002879327518476138	0.0002880131614675725	0.00028793508076999964	0.0002881184746810086	0.0002879134746683328	0.0002879359030029989	0.9976962661147872	0.00028803230320412524
25	0.00032679757413425157	0.08950748308625664	0.00032708554425407867	0.00032706465532453033	0.0003268913735938975	0.0003269903586048804	0.0003268833557445659	0.9082038286233114	0.00032697542877562435
26	0.0007407410717315246	0.20296888464542198	0.7918436972608115	0.0007411043229218501	0.0007409423361868113	0.0007409298669986623	0.0007412008919387309	0.0007412888315340328	0.0007412107724549706
27	0.00031036631337477	0.9495131101186925	0.0003104654497336741	0.000310593983297334	0.0003104638590893654	0.00031041953377208907	0.04831363366192761	0.0003104982890712476	0.0003104487910414847
28	0.0008417513640040387	0.3163702509845223	0.0008421114375605075	0.10279653261735984	0.0008421231351196044	0.0008421567709550848	0.0008422898021669187	0.57578038802498	0.0008423958633315044
29	0.0005005007953998046	0.0005007649743744161	0.0005007405220201013	0.23390787653199654	0.0005008057481415546	0.000500671038553051	0.0005006372577491598	0.7625870575277014	0.0005009456040639612
30	0.00029086701433065916	0.00029103842815586924	0.00029107883478822705	0.16449053219734264	0.0002910714920026013	0.04813783848378347	0.23655985762494275	0.0002910814340306113	0.5493566344906232
31	0.00019256698921703825	0.0001926982655564449	0.00019262298605858256	0.7838604911691684	0.00019260100824117552	0.0001926666776379227	0.21479103526841054	0.00019265944559595185	0.0001926581901139228
32	0.0002743484978172364	0.00027445645412480445	0.9978045358166693	0.0002745006422906626	0.00027440628069744737	0.00027446821712607167	0.0002744069395189233	0.0002744250477106001	0.00027445210404486437
33	0.0002841717756996492	0.00028434236088286226	0.000284419282847246	0.00028433861776610826	0.00028430662670650056	0.015980661364942438	0.00028425079848764357	0.00028433538849842086	0.9820291737841691
34	0.0003595830967581462	0.2690366260555518	0.0003597047760094183	0.0003598104189334083	0.0003597113210987159	0.0003596861519979686	0.6011030019963562	0.12770205673726714	0.00035981944602733485
35	0.001019368434760215	0.8767351568710268	0.11612648618356784	0.0010202724122529035	0.0010196948465671346	0.0010196242407272474	0.0010196419329061201	0.0010198388763382415	0.0010199162018534786
36	0.00124844034886635	0.24384652790988823	0.0012495191449793728	0.0012490934358576596	0.0012488571687467409	0.0012489641951968168	0.023497594038556318	0.7251616437467848	0.0012493600111235326
37	0.00047687201474532306	0.6476302714691824	0.00047702772712278005	0.14812227571301614	0.0004770285148161211	0.0004772732360741697	0.042413093506185044	0.15944892362196203	0.0004772341968957691
38	0.0005527918755934096	0.22947375552804927	0.0005531472479800098	0.0005529790812129216	0.0005532210293416544	0.0005528916900836933	0.0005529678699476474	0.7666552222888238	0.0005530233889676888
39	0.00015410701777243316	0.00015419598317541886	0.00015418135769761088	0.00015418903098268885	0.00015413580016013028	0.0001541667852772033	0.9987666273060725	0.0001542115707269603	0.0001541851481350889
40	0.0006653365106978479	0.0006658948825552683	0.0006658440840605484	0.08088147389230846	0.06435581240811673	0.0006658985564622446	0.0006658376618231217	0.3267227580095106	0.5247111439944652
41	0.0002978851924289964	0.22156299496037996	0.00029802273814702625	0.00029804881626149387	0.0002979678934072485	0.00029808985293205726	0.0002980347923045628	0.3243595954556027	0.45228936029853606
42	0.00023293741605763464	0.0002330029132992432	0.00023306045135609995	0.00023301693558648356	0.00023298625333014654	0.00023303330806360837	0.9981358408611348	0.00023302798790282955	0.0002330938732692119
43	0.0002777779427696984	0.4350273475928443	0.0002779526776105835	0.00027791986536604467	0.00027795037356041264	0.00027795490716074004	0.00027806660382808984	0.34706791973332746	0.2162371103035327
44	0.0013717428265288879	0.9890191231037594	0.0013724862798412442	0.001372908681178131	0.0013723707259691556	0.00137290296915008	0.0013732742029473712	0.001372276584886255	0.0013729146257393755
45	0.00045351493413941927	0.0004539981168434555	0.00045386256870598245	0.0004538101495174068	0.000453662235490127	0.0004536898086089957	0.00045369418388110846	0.9963699896308338	0.0004537783719797517
46	0.000669344347889047	0.0006697602014231871	0.0006696586046751244	0.9946431021896027	0.0006697185791087152	0.0006694754144778769	0.0006695465111292878	0.0006696324270755317	0.0006697617246184295
47	0.00022815434126983989	0.00022829971394184467	0.0002283020683934272	0.00022826868654306744	0.00022821165059338467	0.0002283208193701022	0.31017719910281843	0.688224937831029	0.00022830578604083734
48	0.0005216486725717896	0.04357808187242038	0.0005218191216387335	0.00052190371741734	0.21441725608712545	0.0005217413872790571	0.000521872128913081	0.000521874066519404	0.7388738029461148
49	0.0005555556334226663	0.0005556427026461235	0.0005556613354976487	0.0005556479105507474	0.9955549016307779	0.0005556088827755366	0.0005556249610929677	0.0005556678337584842	0.0005556891094779288
